Main Application ms
5163
4846
5019
4321
4205
3264
3930
2765
3220
4269
4664
4641
4798
4309
3709
5160
4650
4500
4980
3808
3985
4031
4684
4564
4823
3731
5365
5032
4598
4343
4187
4164
4370
3985
2838
4392
3795
2568
2046
2079
3407
2437
3922
4102
3709
3731
3839
3348
3810
4155
3684
3079
4505
4712
4687
3670
3608
4353
4880
4746
4639
4865
5053
4204
4656
4611
3817
2668
2193
1722
1464
1467
1471
1477
3215
4039
3107
3776
3126
3466
2599
2154
3184
3844
3791
2940
2258
1700
1469
1475
1473
1451
1480
3732
4053
3892
4601
4287
4173
2929
