Main Application ms
1697
1601
937
858
737
665
634
562
526
508
484
477
474
480
481
527
479
481
515
580
508
473
474
473
541
518
535
502
506
470
484
486
503
475
476
482
485
479
477
487
486
485
476
488
489
484
480
495
473
485
476
480
472
476
470
499
482
508
495
522
482
476
483
476
509
480
490
479
480
481
490
481
470
475
481
467
484
468
493
479
481
483
502
487
487
475
468
476
483
489
465
469
472
468
471
484
469
467
464
467
